time1,cm,cd,cl
455.0,0.0004629141,1.068083,-0.09839265
456.0,-0.0002292757,1.064128,-0.1177303
457.0,-0.000898809,1.062119,-0.1287149
458.0,-0.001495985,1.062271,-0.1305956
459.0,-0.001982229,1.065132,-0.1238589
460.0,-0.002329556,1.068363,-0.1086588
461.0,-0.002520671,1.071867,-0.08578887
462.0,-0.002541437,1.074655,-0.05618745
463.0,-0.002385504,1.076614,-0.02182622
464.0,-0.002057542,1.077509,0.01401165
465.0,-0.001575512,1.075775,0.04861333
466.0,-0.0009739644,1.071778,0.07917191
467.0,-0.0003000723,1.066887,0.103821
468.0,0.0003924046,1.063496,0.1212428
469.0,0.001049251,1.062,0.1300812
470.0,0.001623466,1.062831,0.1299168
471.0,0.002079272,1.066044,0.1211241
472.0,0.002391192,1.069389,0.1039708
473.0,0.002543122,1.072984,0.07942849
474.0,0.002522098,1.075272,0.04832728
475.0,0.002324165,1.076899,0.01334296
476.0,0.001957193,1.077086,-0.02244409
477.0,0.001442749,1.075133,-0.05634638
478.0,0.000819,1.070967,-0.08567118
479.0,0.000135263,1.066153,-0.1087201
480.0,-0.0005539177,1.062949,-0.1242507
481.0,-0.001195333,1.061806,-0.1309871
482.0,-0.001744885,1.063406,-0.1287363
483.0,-0.002168781,1.06686,-0.1178958
484.0,-0.002444277,1.070388,-0.09882986
485.0,-0.002556112,1.073946,-0.07267187
486.0,-0.002493407,1.075875,-0.04037322
487.0,-0.002254537,1.077293,-0.004890237
488.0,-0.001850127,1.076778,0.03070792
489.0,-0.001305737,1.074338,0.06376322
490.0,-0.0006623794,1.06986,0.09175183
491.0,2.805677e-05,1.06538,0.1131928
492.0,0.0007106257,1.062602,0.1267297
493.0,0.001334422,1.062016,0.1313036
494.0,0.001857464,1.06428,0.1270373
495.0,0.002248136,1.067741,0.1141628
496.0,0.002486534,1.071264,0.09331577
497.0,0.00255792,1.074445,0.06556722
498.0,0.0024533,1.076328,0.03218596
499.0,0.002173745,1.077667,-0.003601721
500.0,0.001732968,1.076625,-0.03888731
501.0,0.001160874,1.073408,-0.07090259
502.0,0.0005014235,1.068611,-0.09749344
503.0,-0.0001924205,1.064539,-0.1172663
504.0,-0.0008662203,1.06242,-0.128747
505.0,-0.001470051,1.062449,-0.1311561
506.0,-0.001964731,1.065225,-0.1248937
507.0,-0.002321386,1.068483,-0.1101141
508.0,-0.002522236,1.072023,-0.08754441
509.0,-0.002552766,1.074934,-0.05819034
510.0,-0.002406295,1.076841,-0.02392455
511.0,-0.002086902,1.077844,0.01199833
512.0,-0.001611733,1.076176,0.04680951
513.0,-0.0010145,1.07229,0.07773697
514.0,-0.0003417986,1.067399,0.1028254
515.0,0.0003526386,1.063888,0.1207633
516.0,0.001014682,1.062264,0.1301842
517.0,0.0015964,1.062954,0.1305447
518.0,0.002061352,1.066104,0.1222605
519.0,0.002383226,1.069469,0.1055345
520.0,0.002545668,1.073009,0.08136711
521.0,0.002535444,1.075369,0.0505511
522.0,0.002347847,1.0771,0.01561031
523.0,0.001989953,1.0775,-0.02029197
524.0,0.001482556,1.075602,-0.0544654
525.0,0.0008630072,1.071419,-0.08417789
526.0,0.0001802147,1.06649,-0.1076887
527.0,-0.000511727,1.063234,-0.1237936
528.0,-0.001158893,1.062015,-0.131126
529.0,-0.001716457,1.063445,-0.1294223
530.0,-0.002150021,1.066853,-0.1191159
531.0,-0.002436126,1.070313,-0.1005344
532.0,-0.002559353,1.073935,-0.07477215
533.0,-0.002508168,1.075933,-0.04272943
534.0,-0.002280248,1.077419,-0.007288081
535.0,-0.001885412,1.077054,0.02844848
536.0,-0.001348088,1.074739,0.06182961
537.0,-0.0007087502,1.070314,0.09024593
538.0,-1.842414e-05,1.065719,0.1121929
539.0,0.0006673589,1.062815,0.1263063
540.0,0.001297251,1.062094,0.1314915
541.0,0.001828886,1.064179,0.1278309
542.0,0.002230059,1.067688,0.1155353
