ROW,LOC_X,LOC_Y,CAT
934,-201.0,167.0,1
935,-8.0,105.0,4
936,-139.0,208.0,1
937,154.0,195.0,0
938,77.0,175.0,0
939,-112.0,154.0,1
940,165.0,194.0,0
941,111.0,220.0,0
942,15.0,0.0,4
943,9.0,93.0,4
944,143.0,113.0,5
945,127.0,224.0,0
946,17.0,11.0,4
947,-128.0,170.0,1
948,-194.0,153.0,1
949,2.0,-6.0,4
950,0.0,230.0,3
951,20.0,7.0,4
952,-93.0,235.0,1
953,10.0,6.0,4
954,17.0,244.0,3
955,-152.0,17.0,2
956,-144.0,31.0,2
957,9.0,7.0,4
958,-120.0,53.0,2
959,-202.0,72.0,2
960,125.0,9.0,5
961,-4.0,1.0,4
962,-98.0,34.0,2
963,-194.0,80.0,2
964,34.0,26.0,4
965,0.0,4.0,4
966,0.0,6.0,4
967,118.0,118.0,5
968,-86.0,28.0,2
969,-7.0,14.0,4
970,7.0,405.0,3
971,-117.0,4.0,2
972,4.0,-5.0,4
973,0.0,-19.0,4
974,-2.0,22.0,4
975,125.0,119.0,5
976,-29.0,12.0,4
977,133.0,66.0,5
978,-89.0,45.0,2
979,-35.0,8.0,4
980,230.0,1.0,5
981,-79.0,266.0,3
982,17.0,15.0,4
983,50.0,58.0,4
984,9.0,15.0,4
985,228.0,1.0,5
986,-235.0,6.0,2
987,-149.0,11.0,2
988,-24.0,6.0,4
989,0.0,1.0,4
990,0.0,1.0,4
991,198.0,160.0,0
992,-177.0,173.0,1
993,24.0,0.0,4
994,157.0,31.0,5
995,-157.0,148.0,1
996,0.0,1.0,4
997,-229.0,67.0,2
998,-35.0,22.0,4
999,-7.0,0.0,4
1000,-131.0,53.0,2
1001,20.0,0.0,4
1002,0.0,1.0,4
1003,-147.0,7.0,2
1004,-207.0,146.0,1
1005,-62.0,241.0,3
1006,-73.0,231.0,3
1007,-8.0,22.0,4
1008,108.0,186.0,0
1009,0.0,12.0,4
1010,239.0,25.0,5
1011,-81.0,31.0,2
1012,-187.0,94.0,2
1013,6.0,11.0,4
1014,-112.0,233.0,1
1015,-29.0,258.0,3
1016,-4.0,-3.0,4
1017,154.0,56.0,5
1018,143.0,213.0,0
1019,10.0,71.0,4
1020,-19.0,15.0,4
1021,-5.0,56.0,4
1022,-30.0,250.0,3
1023,-223.0,26.0,2
1024,0.0,6.0,4
1025,17.0,22.0,4
1026,9.0,26.0,4
1027,-131.0,15.0,2
1028,147.0,219.0,0
1029,-133.0,211.0,1
1030,-16.0,214.0,3
1031,12.0,19.0,4
1032,0.0,1.0,4
1033,9.0,12.0,4
1034,-86.0,255.0,3
1035,-235.0,26.0,2
1036,-93.0,244.0,1
1037,15.0,11.0,4
1038,-27.0,12.0,4
1039,170.0,74.0,5
1040,-128.0,217.0,1
1041,0.0,1.0,4
1042,-101.0,179.0,1
1043,-15.0,216.0,3
1044,-51.0,31.0,4
1045,45.0,154.0,3
1046,124.0,108.0,5
1047,-171.0,198.0,1
1048,160.0,121.0,5
1049,144.0,50.0,5
1050,146.0,200.0,0
1051,-111.0,233.0,1
1052,-8.0,0.0,4
1053,-38.0,3.0,4
1054,-97.0,3.0,2
1055,-141.0,198.0,1
1056,176.0,186.0,0
1057,0.0,1.0,4
1058,-84.0,261.0,3
1059,10.0,17.0,4
1060,9.0,20.0,4
1061,113.0,230.0,0
1062,-5.0,42.0,4
1063,56.0,99.0,4
1064,17.0,17.0,4
1065,0.0,1.0,4
1066,43.0,85.0,4
1067,54.0,183.0,3
1068,0.0,1.0,4
1069,-229.0,37.0,2
1070,67.0,149.0,0
1071,-95.0,78.0,2
1072,0.0,126.0,3
1073,75.0,231.0,0
1074,-10.0,3.0,4
1075,67.0,235.0,0
1076,-10.0,246.0,3
1077,20.0,151.0,3
1078,15.0,17.0,4
1079,-116.0,219.0,1
1080,231.0,14.0,5
1081,-152.0,108.0,2
1082,-7.0,25.0,4
1083,18.0,0.0,4
1084,0.0,1.0,4
1085,-217.0,137.0,1
1086,-130.0,208.0,1
1087,-242.0,1.0,2
1088,0.0,1.0,4
1089,0.0,1.0,4
1090,141.0,209.0,0
1091,-160.0,45.0,2
1092,-187.0,3.0,2
1093,-100.0,41.0,2
1094,-11.0,4.0,4
1095,-231.0,108.0,2
1096,0.0,1.0,4
1097,-117.0,224.0,1
